episode,steps,score,episode_reward,best_reward,epsilon,end_reason,wall_collisions_total,self_collisions_total,board_filled_total,pipes_passed_episode,pipes_passed_total,pipe_collisions_total,ground_collisions_total,ceiling_collisions_total
1,2048,0,45.5755,45.5755,0.999454,stagnation_timeout,0,0,0,0,0,0,0,0
2,3154,60,131.6942,131.6942,0.998908,wall_collision,1,0,0,0,0,0,0,0
3,3059,20,91.8656,131.6942,0.998363,stagnation_timeout,1,0,0,0,0,0,0,0
4,3047,40,117.4732,131.6942,0.997818,self_collision,1,1,0,0,0,0,0,0
5,4458,40,147.9437,147.9437,0.997273,wall_collision,2,1,0,0,0,0,0,0
6,2048,0,45.3473,147.9437,0.996728,stagnation_timeout,2,1,0,0,0,0,0,0
7,2048,0,46.9973,147.9437,0.996184,stagnation_timeout,2,1,0,0,0,0,0,0
8,2048,0,45.9293,147.9437,0.995640,stagnation_timeout,2,1,0,0,0,0,0,0
9,3411,10,98.2281,147.9437,0.995096,stagnation_timeout,2,1,0,0,0,0,0,0
10,4151,20,123.4899,147.9437,0.994553,stagnation_timeout,2,1,0,0,0,0,0,0
11,3090,20,91.0047,147.9437,0.994010,stagnation_timeout,2,1,0,0,0,0,0,0
12,2048,0,45.3832,147.9437,0.993467,stagnation_timeout,2,1,0,0,0,0,0,0
13,5881,70,202.7124,202.7124,0.992924,wall_collision,3,1,0,0,0,0,0,0
14,1447,20,49.7737,202.7124,0.992382,self_collision,3,2,0,0,0,0,0,0
15,2714,20,82.0735,202.7124,0.991840,wall_collision,4,2,0,0,0,0,0,0
16,3009,10,84.6445,202.7124,0.991299,stagnation_timeout,4,2,0,0,0,0,0,0
17,5416,40,167.3018,202.7124,0.990757,self_collision,4,3,0,0,0,0,0,0
18,2157,10,63.9478,202.7124,0.990216,stagnation_timeout,4,3,0,0,0,0,0,0
19,4671,30,152.8485,202.7124,0.989676,self_collision,4,4,0,0,0,0,0,0
20,3171,10,90.0418,202.7124,0.989135,stagnation_timeout,4,4,0,0,0,0,0,0
21,3178,20,99.4585,202.7124,0.988595,self_collision,4,5,0,0,0,0,0,0
22,2048,0,44.8191,202.7124,0.988055,stagnation_timeout,4,5,0,0,0,0,0,0
23,2577,30,87.6935,202.7124,0.987516,self_collision,4,6,0,0,0,0,0,0
24,4370,50,147.2616,202.7124,0.986976,wall_collision,5,6,0,0,0,0,0,0
25,4063,10,114.8992,202.7124,0.986437,stagnation_timeout,5,6,0,0,0,0,0,0
26,5245,80,197.8455,202.7124,0.985899,self_collision,5,7,0,0,0,0,0,0
27,2707,10,74.4978,202.7124,0.985360,stagnation_timeout,5,7,0,0,0,0,0,0
28,4215,70,176.9176,202.7124,0.984822,self_collision,5,8,0,0,0,0,0,0
29,2392,10,67.2648,202.7124,0.984284,stagnation_timeout,5,8,0,0,0,0,0,0
30,2909,20,86.6784,202.7124,0.983747,stagnation_timeout,5,8,0,0,0,0,0,0
31,5603,50,174.2935,202.7124,0.983210,self_collision,5,9,0,0,0,0,0,0
32,6615,40,195.8197,202.7124,0.982673,stagnation_timeout,5,9,0,0,0,0,0,0
33,5509,50,187.7894,202.7124,0.982136,wall_collision,6,9,0,0,0,0,0,0
34,1872,20,61.8098,202.7124,0.981600,wall_collision,7,9,0,0,0,0,0,0
35,5099,20,152.2028,202.7124,0.981064,stagnation_timeout,7,9,0,0,0,0,0,0
36,1944,40,77.2402,202.7124,0.980528,self_collision,7,10,0,0,0,0,0,0
37,4216,40,129.0788,202.7124,0.979993,wall_collision,8,10,0,0,0,0,0,0
38,2831,10,78.0848,202.7124,0.979458,stagnation_timeout,8,10,0,0,0,0,0,0
39,2432,10,68.4427,202.7124,0.978923,stagnation_timeout,8,10,0,0,0,0,0,0
40,2048,0,47.5255,202.7124,0.978388,stagnation_timeout,8,10,0,0,0,0,0,0
41,3203,30,110.0300,202.7124,0.977854,wall_collision,9,10,0,0,0,0,0,0
42,2048,0,45.0652,202.7124,0.977320,stagnation_timeout,9,10,0,0,0,0,0,0
43,2048,0,47.8255,202.7124,0.976786,stagnation_timeout,9,10,0,0,0,0,0,0
44,2164,40,88.6280,202.7124,0.976253,wall_collision,10,10,0,0,0,0,0,0
45,3601,40,127.0127,202.7124,0.975720,self_collision,10,11,0,0,0,0,0,0
46,4162,20,124.3723,202.7124,0.975187,self_collision,10,12,0,0,0,0,0,0
47,574,30,35.0946,202.7124,0.974654,wall_collision,11,12,0,0,0,0,0,0
48,3783,20,112.0094,202.7124,0.974122,stagnation_timeout,11,12,0,0,0,0,0,0
49,8108,80,273.2123,273.2123,0.973590,self_collision,11,13,0,0,0,0,0,0
50,3887,30,125.2217,273.2123,0.973059,self_collision,11,14,0,0,0,0,0,0
51,4955,20,146.5261,273.2123,0.972527,stagnation_timeout,11,14,0,0,0,0,0,0
52,2609,20,75.2513,273.2123,0.971996,stagnation_timeout,11,14,0,0,0,0,0,0
53,3659,60,145.8755,273.2123,0.971465,self_collision,11,15,0,0,0,0,0,0
54,4684,30,149.1594,273.2123,0.970935,stagnation_timeout,11,15,0,0,0,0,0,0
55,2665,40,101.8461,273.2123,0.970405,self_collision,11,16,0,0,0,0,0,0
56,2269,40,91.9457,273.2123,0.969875,self_collision,11,17,0,0,0,0,0,0
57,2048,0,47.0934,273.2123,0.969345,stagnation_timeout,11,17,0,0,0,0,0,0
58,2130,10,59.8694,273.2123,0.968816,stagnation_timeout,11,17,0,0,0,0,0,0
59,2867,20,86.3237,273.2123,0.968287,stagnation_timeout,11,17,0,0,0,0,0,0
60,2658,10,75.5022,273.2123,0.967758,stagnation_timeout,11,17,0,0,0,0,0,0
61,4197,40,146.3908,273.2123,0.967230,self_collision,11,18,0,0,0,0,0,0
62,2262,20,71.9798,273.2123,0.966701,self_collision,11,19,0,0,0,0,0,0
63,2919,60,122.1759,273.2123,0.966174,self_collision,11,20,0,0,0,0,0,0
64,5903,50,190.9384,273.2123,0.965646,self_collision,11,21,0,0,0,0,0,0
65,3157,50,126.1125,273.2123,0.965119,self_collision,11,22,0,0,0,0,0,0
66,2048,0,46.9075,273.2123,0.964592,stagnation_timeout,11,22,0,0,0,0,0,0
67,3232,60,141.9339,273.2123,0.964065,self_collision,11,23,0,0,0,0,0,0
68,2684,40,103.8740,273.2123,0.963538,wall_collision,12,23,0,0,0,0,0,0
69,3704,40,129.0688,273.2123,0.963012,self_collision,12,24,0,0,0,0,0,0
